BEGIN
CREATE TABLE
INSERT 0 187
 rk  |              team              | year |  str  | park  |  ofs  |  dfs  |  sos  
-----+--------------------------------+------+-------+-------+-------+-------+-------
   1 | Lewis-Clark State (Idaho)      | 2015 | 2.766 | 0.930 | 1.995 | 0.721 | 1.124
   2 | Oklahoma Baptist               | 2015 | 2.612 | 1.025 | 1.542 | 0.590 | 1.024
   3 | Faulkner (Ala.)                | 2015 | 2.522 | 0.971 | 1.509 | 0.598 | 1.149
   4 | Lindsey Wilson (Ky.)           | 2015 | 2.444 | 1.042 | 1.500 | 0.614 | 1.134
   5 | Bellevue (Neb.)                | 2015 | 2.346 | 0.935 | 1.340 | 0.571 | 1.062
   6 | Oklahoma Wesleyan              | 2015 | 2.255 | 1.035 | 1.629 | 0.722 | 1.087
   7 | Tennessee Wesleyan             | 2015 | 2.216 | 0.994 | 1.554 | 0.701 | 1.141
   8 | LSU Alexandria (La.)           | 2015 | 2.139 | 0.912 | 1.558 | 0.728 | 0.979
   9 | Bryan (Tenn.)                  | 2015 | 2.128 | 1.113 | 1.421 | 0.668 | 1.111
  10 | Davenport (Mich.)              | 2015 | 2.112 | 0.989 | 1.461 | 0.692 | 1.036
  11 | Northwood (Fla.)               | 2015 | 2.028 | 0.990 | 1.458 | 0.719 | 1.078
  12 | Embry-Riddle (Fla.)            | 2015 | 2.009 | 1.041 | 1.325 | 0.660 | 1.155
  13 | Westmont (Calif.)              | 2015 | 1.978 | 0.888 | 1.358 | 0.686 | 1.107
  14 | Missouri Baptist               | 2015 | 1.963 | 0.911 | 1.540 | 0.784 | 1.025
  15 | Oklahoma City                  | 2015 | 1.951 | 1.025 | 1.570 | 0.805 | 1.080
  16 | Tabor (Kan.)                   | 2015 | 1.950 | 1.163 | 1.246 | 0.639 | 1.039
  17 | Campbellsville (Ky.)           | 2015 | 1.891 | 0.922 | 1.199 | 0.634 | 1.096
  18 | Northwestern Ohio              | 2015 | 1.888 | 1.006 | 1.376 | 0.729 | 1.042
  19 | Auburn Montgomery (Ala.)       | 2015 | 1.856 | 0.930 | 1.426 | 0.768 | 1.167
  20 | Freed-Hardeman (Tenn.)         | 2015 | 1.851 | 0.943 | 1.518 | 0.821 | 1.043
  21 | St. Thomas (Fla.)              | 2015 | 1.829 | 1.038 | 1.534 | 0.839 | 1.128
  22 | Mobile (Ala.)                  | 2015 | 1.827 | 1.006 | 1.272 | 0.696 | 1.079
  23 | Concordia (Calif.)             | 2015 | 1.796 | 0.988 | 1.292 | 0.719 | 1.143
  24 | LSU Shreveport (La.)           | 2015 | 1.739 | 1.021 | 1.295 | 0.745 | 0.997
  25 | The Master's (Calif.)          | 2015 | 1.739 | 0.897 | 1.303 | 0.749 | 1.104
  26 | St. Catharine (Ky.)            | 2015 | 1.710 | 0.949 | 1.217 | 0.712 | 1.078
  27 | Vanguard (Calif.)              | 2015 | 1.668 | 0.834 | 1.297 | 0.778 | 1.124
  28 | Cal State San Marcos           | 2015 | 1.642 | 1.086 | 1.360 | 0.828 | 1.007
  29 | British Columbia               | 2015 | 1.635 | 0.862 | 1.076 | 0.658 | 1.143
  30 | Sterling (Kan.)                | 2015 | 1.633 | 1.024 | 1.129 | 0.691 | 1.009
  31 | Point Park (Pa.)               | 2015 | 1.609 | 0.983 | 1.132 | 0.704 | 0.962
  32 |                                | 2015 | 1.608 | 1.112 | 1.424 | 0.886 | 1.066
  33 | Concordia (Ore.)               | 2015 | 1.601 | 0.853 | 1.142 | 0.713 | 1.136
