year,teams,avg_games,ba,runs_game,hr_game,sb_game,era,so9,fp
1970,181,32.8,.262,4.96,0.40,1.15,3.34,6.77,.948
1971,192,34.4,.267,5.28,0.46,1.16,3.47,6.92,.948
1972,202,34.1,.266,5.01,0.44,1.09,3.35,6.69,.949
1973,203,34.0,.266,5.07,0.42,1.13,3.46,6.60,.949
1974,187,38.4,.274,5.33,0.49,1.24,3.79,5.94,.949
1975,168,39.0,.273,5.38,0.50,1.30,3.76,6.13,.950
1976,194,41.9,.282,5.65,0.55,1.45,3.91,6.02,.950
1977,210,42.5,.286,5.83,0.62,1.34,4.22,6.11,.948
1978,213,42.9,.288,6.08,0.66,1.39,4.37,5.97,.947
1979,220,43.6,.289,6.09,0.62,1.49,4.42,5.72,.948
1980,211,44.6,.295,6.22,0.66,1.36,4.59,5.60,.948
1981,237,48.4,.300,6.52,0.74,1.49,5.05,5.51,.946
1982,222,46.8,.298,6.39,0.69,1.52,4.95,5.56,.948
1983,225,44.8,.297,6.44,0.76,1.48,5.02,5.73,.948
1984,240,48.3,.295,6.41,0.78,1.42,5.06,5.94,.948
1985,250,51.9,.306,6.94,0.92,1.47,5.51,5.96,.948
1986,254,50.0,.301,6.79,0.89,1.48,5.42,6.10,.947
1987,263,48.9,.299,6.72,0.89,1.45,5.38,6.19,.949
1988,266,51.2,.297,6.53,0.84,1.38,5.29,6.28,.950
1989,259,49.9,.289,6.15,0.67,1.40,4.94,6.22,.953
1990,256,52.0,.290,6.07,0.66,1.41,4.88,6.09,.952
1991,262,52.6,.294,6.30,0.73,1.36,5.11,6.21,.952
1992,268,50.8,.291,6.18,0.68,1.36,5.10,6.23,.954
1993,271,50.1,.288,6.08,0.72,1.37,5.10,6.27,.953
1994,273,51.9,.290,6.24,0.69,1.36,5.16,6.36,.952
1995,271,53.1,.289,6.20,0.70,1.30,5.19,6.49,.953
1996,271,52.3,.294,6.48,0.77,1.30,5.47,6.66,.952
1997,273,53.1,.304,7.00,0.96,1.26,5.93,6.94,.951
1998,273,52.4,.306,7.12,1.06,1.29,6.12,7.07,.952
1999,274,54.9,.303,6.93,0.95,1.30,5.94,7.12,.952
2000,281,54.8,.297,6.53,0.80,1.29,5.56,6.79,.954
2001,280,54.9,.296,6.44,0.81,1.24,5.50,6.85,.955
2002,282,55.1,.296,6.45,0.83,1.22,5.49,6.84,.955
2003,284,53.8,.291,6.11,0.74,1.15,5.23,6.79,.958
2004,285,55.3,.291,6.17,0.77,1.14,5.29,6.86,.959
2005,283,55.1,.290,6.14,0.70,1.19,5.13,6.75,.959
2006,285,56.2,.291,6.15,0.68,1.17,5.14,6.62,.960
2007,282,55.7,.291,6.10,0.68,1.15,5.12,6.63,.961
2008,286,55.6,.296,6.57,0.84,1.14,5.59,6.84,.961
2009,288,54.2,.302,6.88,0.96,1.16,5.85,6.96,.962
2010,292,55.8,.305,6.98,0.94,1.21,5.95,6.87,.962
2011,292,55.5,.282,5.58,0.52,1.12,4.67,6.72,.964
2012,291,56.3,.277,5.38,0.48,1.03,4.51,6.61,.965
2013,296,55.9,.274,5.27,0.42,1.09,4.38,6.53,.965
