name	symbol	elev-ft
Angel Stadium of Anaheim	ana	151
Chase Field	ari	1086
Turner Field	atl	930
Oriole Park at Camden Yards	bal	33
Fenway Park	bos	21
U.S. Cellular Field	cha	595
Wrigley Field	chn	595
Great American Ball Park	cin	535
Progressive Field	cle	653
Coors Field	col	5190
Comerica Park	det	600
Marlins Park	flo	10
Minute Maid Park	hou	45
Kauffman Stadium	kca	865
Dodger Stadium	lan	515
Miller Park	mil	597
Target Field	min	815
Yankee Stadium	nya	55
Citi Field	nyn	10
Oakland Coliseum	oak	3
Citizens Bank Park	phi	20
PNC Park	pit	780
Petco Park	sdn	23
Safeco Field	sea	10
AT&T Park	sfn	0
Busch Stadium	sln	460
Tropicana Field	tba	15
Globe Life Park in Arlington	tex	545
Rogers Centre	tor	270
Nationals Park	was	35
